Claim ID,Customer ID,Policy Type,Region,Claim Date,Claim Amount,Status,Policy Start Date,Premium Amount,Customer Age,Incident Type,Gender,National ID
CLM1000,CUST93810,Life,Nyanza,2024-02-13,112382.16,Approved,2022-01-20,68316.55,75.0,Natural Disaster,Male,95822412
CLM1003,CUST57052,Property,Rift Valley,2024-09-19,403757.01,Rejected,2024-04-27,54550.35,42.0,Accident,Female,23756669
CLM1004,CUST91070,Life,Nyanza,2024-08-17,352581.35,Approved,2023-10-18,66803.81,67.0,Fire,Male,21668732
CLM1005,CUST23238,Health,Coast,2024-01-12,82164.39,Cancelled,2022-03-14,22531.69,35.0,Other,Male,14265799
CLM1006,CUST32431,Third Party,Western,2024-03-31,231667.85,Cancelled,2024-02-25,98973.29,58.0,Other,Male,39345092
CLM1007,CUST17331,Comprehensive,Coast,2024-01-11,201181.23,Approved,2023-03-12,22676.32,54.0,Other,Female,90801586
CLM1008,CUST75435,Health,Western,2024-10-05,133175.2,Pending,2024-04-26,75008.92,52.0,Fire,Female,36687537
CLM1009,CUST62350,Third Party,North Eastern,2024-03-26,46363.8,Approved,2023-11-29,86388.09,27.0,Other,Male,66306997
CLM1010,CUST65333,Health,Eastern,2024-04-18,298348.33,Rejected,2022-01-11,53853.21,53.0,Accident,Male,89089901
CLM1011,CUST80381,Life,Central,2024-09-28,147456.56,Pending,2023-10-19,46464.92,64.0,Other,Female,31429110
CLM1012,CUST33416,Comprehensive,Rift Valley,2024-04-17,420993.0,Pending,2022-08-30,16978.25,66.0,Theft,Male,55667651
CLM1014,CUST79822,Third Party,North Eastern,2024-02-06,473477.49,Pending,2022-10-23,27975.55,73.0,Natural Disaster,Female,23718431
CLM1015,CUST80686,Third Party,Rift Valley,2024-05-19,200097.16,Cancelled,2023-06-19,44933.81,51.0,Medical,Male,22981052
CLM1017,CUST53309,Third Party,Rift Valley,2024-07-27,334819.91,Pending,2022-07-13,54844.93,64.0,Natural Disaster,Female,71662963
CLM1018,CUST71993,Third Party,Central,2024-01-31,49368.48,Rejected,2023-03-05,36721.16,44.0,Medical,Male,60806024
CLM1020,CUST46509,Comprehensive,North Eastern,2024-12-09,404203.1,Approved,2023-07-16,6957.66,52.0,Accident,Male,93016315
CLM1021,CUST40982,Health,North Eastern,2024-03-15,107659.9,Rejected,2022-04-19,90439.4,28.0,Medical,Male,87490893
CLM1022,CUST44760,Health,Rift Valley,2024-09-13,212080.74,Rejected,2022-12-21,17170.09,36.0,Theft,Male,16150444
CLM1024,CUST20500,Comprehensive,Central,2024-12-02,337931.06,Pending,2022-06-06,41570.0,74.0,Natural Disaster,Male,41244663
CLM1025,CUST15209,Health,Coast,2024-04-17,467418.42,Pending,2023-12-06,67633.15,38.0,Theft,Female,61019678
CLM1027,CUST76307,Life,Central,2024-05-23,439755.85,Cancelled,2023-07-06,29928.76,46.0,Natural Disaster,Female,31831063
CLM1028,CUST95717,Property,Rift Valley,2024-09-17,465946.26,Approved,2023-02-19,94015.14,26.0,Fire,Male,38119557
CLM1029,CUST82512,Life,Nyanza,2024-01-28,359088.48,Pending,2023-04-19,69374.72,72.0,Fire,Female,96977837
CLM1030,CUST16658,Health,Rift Valley,2024-03-07,22999.29,Cancelled,2023-01-16,77569.68,58.0,Fire,Male,95225343
CLM1031,CUST82309,Property,Nairobi,2024-06-28,56825.07,Pending,2023-08-13,55467.85,71.0,Fire,Male,31931511
CLM1032,CUST15482,Comprehensive,Coast,2024-12-25,105828.19,Pending,2024-09-21,67359.47,40.0,Natural Disaster,Female,46231783
CLM1033,CUST30257,Third Party,Western,2024-03-26,488126.81,Pending,2023-05-19,88378.79,19.0,Theft,Female,84752529
CLM1035,CUST55830,Third Party,Nyanza,2024-06-04,12808.55,Pending,2023-02-20,41049.67,35.0,Accident,Female,52339391
CLM1038,CUST10221,Property,Nyanza,2024-12-09,182746.51,Approved,2024-09-25,94989.7,39.0,Natural Disaster,Female,63100814
CLM1040,CUST59695,Third Party,Rift Valley,2024-04-05,203631.51,Approved,2023-02-13,31779.75,31.0,Medical,Female,28740864
CLM1041,CUST67954,Property,North Eastern,2024-06-15,397073.96,Pending,2023-09-13,66567.37,36.0,Natural Disaster,Female,???
CLM1042,CUST40784,Third Party,Nyanza,2024-03-26,74529.63,Approved,2022-08-03,25994.57,48.0,Natural Disaster,Male,58586340
CLM1043,CUST92544,Health,North Eastern,2024-07-10,200426.78,Pending,2022-05-22,66293.69,18.0,Accident,Female,78387461
CLM1044,CUST77889,Property,Nyanza,2024-11-30,458817.54,Approved,2022-06-20,46733.26,69.0,Medical,Female,16323852
CLM1045,CUST68008,Property,Eastern,2024-08-31,415454.02,Rejected,2022-09-06,89926.39,65.0,Medical,Female,30514014
CLM1046,CUST42406,Life,North Eastern,2024-08-19,313747.47,Cancelled,2022-04-09,45107.51,63.0,Fire,Male,66661351
