Claim ID,Customer ID,Policy Type,Region,Claim Date,Claim Amount,Status,Policy Start Date,Premium Amount,Customer Age,Incident Type,Gender,National ID
CLM1000,CUST93810,Life,Nyanza,2024-02-13,112382.16,Approved,2022-01-20,68316.55,75,Natural Disaster,Male,95822412
CLM1001,CUST14165,Third Party,Nyanza,2024-10-14,253172.29,Approved,2023-03-04,57002.02,63,Other,Female,
CLM1002,CUST87236,Comprehensive,Western,2024-03-27,???,Cancelled,2022-08-05,29231.39,31,Fire,Male,42868828
CLM1003,CUST57052,Property,Rift Valley,2024-09-19,403757.01,Rejected,2024-04-27,54550.35,42,Accident,Female,23756669
CLM1004,CUST91070,Life,Nyanza,2024-08-17,352581.35,Approved,2023-10-18,66803.81,67,Fire,Male,21668732
CLM1005,CUST23238,Health,Coast,2024-01-12,82164.39,Cancelled,2022-03-14,22531.69,35,Other,Male,14265799
CLM1006,CUST32431,Third Party,Western,2024-03-31,231667.85,Cancelled,2024-02-25,98973.29,58,Other,Male,39345092
CLM1007,CUST17331,Comprehensive,Coast,2024-01-11,201181.23,Approved,2023-03-12,22676.32,54,Other,Female,90801586
CLM1008,CUST75435,Health,Western,2024-10-05,133175.2,Pending,2024-04-26,75008.92,52,Fire,Female,36687537
CLM1009,CUST62350,Third Party,North Eastern,2024-03-26,46363.8,Approved,2023-11-29,86388.09,27,Other,Male,66306997
CLM1010,CUST65333,Health,Eastern,2024-04-18,298348.33,Rejected,2022-01-11,53853.21,53,Accident,Male,89089901
CLM1011,CUST80381,Life,Central,2024-09-28,147456.56,Pending,2023-10-19,46464.92,64,Other,Female,31429110
CLM1012,CUST33416,Comprehensive,Rift Valley,2024-04-17,420993.0,Pending,2022-08-30,16978.25,66,Theft,Male,55667651
CLM1013,CUST74042,Life,Rift Valley,2024-03-24,120486.7,Pending,2023-06-07,88044.94,23,Accident,Female,
CLM1014,CUST79822,Third Party,North Eastern,2024-02-06,473477.49,Pending,2022-10-23,27975.55,73,Natural Disaster,Female,23718431
CLM1015,CUST80686,Third Party,Rift Valley,2024-05-19,200097.16,Cancelled,2023-06-19,44933.81,51,Medical,Male,22981052
CLM1016,CUST18392,Property,Nyanza,2024-04-12,,Approved,2022-03-09,8957.32,58,Accident,Male,91030736
CLM1017,CUST53309,Third Party,Rift Valley,2024-07-27,334819.91,Pending,2022-07-13,54844.93,64,Natural Disaster,Female,71662963
CLM1018,CUST71993,Third Party,Central,2024-01-31,49368.48,Rejected,2023-03-05,36721.16,44,Medical,Male,60806024
CLM1019,CUST94696,Health,Coast,2024-11-18,400495.66,Approved,2024-09-03,,30,Natural Disaster,Female,49349722
CLM1020,CUST46509,Comprehensive,North Eastern,2024-12-09,404203.1,Approved,2023-07-16,6957.66,52,Accident,Male,93016315
CLM1021,CUST40982,Health,North Eastern,2024-03-15,107659.9,Rejected,2022-04-19,90439.4,28,Medical,Male,87490893
CLM1022,CUST44760,Health,Rift Valley,2024-09-13,212080.74,Rejected,2022-12-21,17170.09,36,Theft,Male,16150444
CLM1023,CUST81066,Life,Nairobi,2024-01-31,26021.03,Rejected,2023-10-27,51279.34,72,Natural Disaster,,48840994
CLM1024,CUST20500,Comprehensive,Central,2024-12-02,337931.06,Pending,2022-06-06,41570.0,74,Natural Disaster,Male,41244663
CLM1025,CUST15209,Health,Coast,2024-04-17,467418.42,Pending,2023-12-06,67633.15,38,Theft,Female,61019678
CLM1026,CUST98039,Health,Coast,2024-11-19,464580.15,Approved,2023-07-21,,57,Natural Disaster,Male,95320121
CLM1027,CUST76307,Life,Central,2024-05-23,439755.85,Cancelled,2023-07-06,29928.76,46,Natural Disaster,Female,31831063
CLM1028,CUST95717,Property,Rift Valley,2024-09-17,465946.26,Approved,2023-02-19,94015.14,26,Fire,Male,38119557
CLM1029,CUST82512,Life,Nyanza,2024-01-28,359088.48,Pending,2023-04-19,69374.72,72,Fire,Female,96977837
CLM1030,CUST16658,Health,Rift Valley,2024-03-07,22999.29,Cancelled,2023-01-16,77569.68,58,Fire,Male,95225343
CLM1031,CUST82309,Property,Nairobi,2024-06-28,56825.07,Pending,2023-08-13,55467.85,71,Fire,Male,31931511
CLM1032,CUST15482,Comprehensive,Coast,2024-12-25,105828.19,Pending,2024-09-21,67359.47,40,Natural Disaster,Female,46231783
CLM1033,CUST30257,Third Party,Western,2024-03-26,488126.81,Pending,2023-05-19,88378.79,19,Theft,Female,84752529
CLM1034,CUST63964,Third Party,Rifxx,2024-03-29,80439.72,Approved,2022-02-19,39489.09,20,Medical,Male,17507864
CLM1035,CUST55830,Third Party,Nyanza,2024-06-04,12808.55,Pending,2023-02-20,41049.67,35,Accident,Female,52339391
CLM1036,CUST76768,Property,Coast,2024-03-22,469679.33,Approved,2023-05-04,87949.76,34,Theft,,18883684
CLM1037,CUST66959,Life,Easxx,2024-09-11,303498.22,Approved,2024-02-15,39749.15,54,Theft,Female,38538251
CLM1038,CUST10221,Property,Nyanza,2024-12-09,182746.51,Approved,2024-09-25,94989.7,39,Natural Disaster,Female,63100814
CLM1039,CUST26334,Life,Rift Valley,???,333779.56,Cancelled,2023-02-16,41435.24,36,Natural Disaster,Male,71586053
CLM1040,CUST59695,Third Party,Rift Valley,2024-04-05,203631.51,Approved,2023-02-13,31779.75,31,Medical,Female,28740864
CLM1041,CUST67954,Property,North Eastern,2024-06-15,397073.96,Pending,2023-09-13,66567.37,36,Natural Disaster,Female,???
CLM1042,CUST40784,Third Party,Nyanza,2024-03-26,74529.63,Approved,2022-08-03,25994.57,48,Natural Disaster,Male,58586340
CLM1043,CUST92544,Health,North Eastern,2024-07-10,200426.78,Pending,2022-05-22,66293.69,18,Accident,Female,78387461
CLM1044,CUST77889,Property,Nyanza,2024-11-30,458817.54,Approved,2022-06-20,46733.26,69,Medical,Female,16323852
CLM1045,CUST68008,Property,Eastern,2024-08-31,415454.02,Rejected,2022-09-06,89926.39,65,Medical,Female,30514014
CLM1046,CUST42406,Life,North Eastern,2024-08-19,313747.47,Cancelled,2022-04-09,45107.51,63,Fire,Male,66661351
CLM1047,CUST51904,Comprehensive,Western,2024-05-28,76264.5,Rejected,2023-12-29,70007.08,63,Theft,Male,61642594
CLM1048,CUST53369,Health,Nairobi,2024-04-07,104210.36,Rejected,2022-01-18,40168.73,67,Natural Disaster,Male,81016525
CLM1049,CUST85456,Comprehensive,Coast,2024-09-21,150007.71,Rejected,2024-04-14,85637.9,71,Medical,Male,25374874
CLM1050,CUST45774,Comprehensive,Eastern,2024-10-25,168728.64,Rejected,2024-09-22,72969.78,71,Medical,Male,45812670
CLM1051,CUST80008,Health,Nairobi,2024-05-12,42889.78,Rejected,2022-06-23,15298.55,47,Theft,Male,
CLM1052,CUST52906,Life,Coast,2024-06-17,380853.62,Rejected,2022-09-03,29269.15,71,Medical,Female,49392920
CLM1053,CUST71644,Property,Nairobi,2024-06-25,499954.01,Cancelled,2022-01-06,23973.77,22,Other,Male,
CLM1054,CUST42411,Comprehensive,Western,2024-07-13,120033.93,Rejected,2022-10-05,67606.97,54,Theft,Female,45351479
CLM1055,CUST58351,Property,Central,2024-12-20,389118.15,Pending,2022-06-15,96542.64,24,Natural Disaster,Male,78139880
CLM1056,CUST85470,Health,Eastern,2024-04-25,470793.83,Pending,2024-02-28,9447.65,62,Other,Male,???
CLM1057,CUST49529,Property,Central,???,398317.38,Approved,2022-08-26,36025.97,45,Other,Female,91734598
CLM1058,CUST54725,Health,North Eastern,2024-05-25,53663.9,Cancelled,2022-09-08,64287.34,71,Medical,Male,
CLM1059,CUST78386,Life,North Eastern,2024-10-29,232972.01,Cancelled,2024-04-03,33585.85,33,Accident,Female,82394227
CLM1060,CUST41963,Property,Eastern,2024-08-20,168861.91,Rejected,2023-05-19,85393.38,29,Medical,Male,10076758
CLM1061,CUST43862,Property,Rift Valley,2024-01-08,278339.72,Pending,2022-03-28,10390.07,64,Medical,Female,75579548
CLM1062,CUST41499,Health,North Eastern,2024-12-07,396673.5,Approved,2023-04-23,30835.09,43,Other,Male,58718453
CLM1063,CUST86225,Property,Coast,2024-01-23,213326.4,Cancelled,2022-07-07,36477.43,47,Fire,Female,42138745
CLM1064,CUST25814,Life,Central,2024-01-31,371697.65,Pending,2022-03-08,20771.02,65,Medical,Female,86149359
CLM1065,CUST78765,Comprehensive,Nyanza,2024-11-12,148826.99,Cancelled,2022-04-18,19585.27,18,Other,Male,75228535
CLM1066,CUST17146,Third Party,North Eastern,2024-10-24,52191.24,Approved,2022-07-15,58258.29,48,Medical,Female,81498611
CLM1067,CUST16734,Health,Central,2024-09-13,411235.71,Rejected,2024-01-09,50191.16,54,Other,Male,???
CLM1068,CUST83772,Comprehensive,Nyanza,2024-03-05,60107.33,Rejected,2023-02-16,61419.13,68,Natural Disaster,Male,83793389
CLM1069,CUST59856,Health,Rift Valley,2024-12-04,430223.17,Rejected,2024-07-31,31927.26,57,Accident,Male,80823176
CLM1070,CUST37235,Life,Central,2024-03-23,79371.49,Pending,2022-11-09,56095.24,28,Accident,Female,66792612
CLM1071,CUST87832,Comprehensive,Nyanza,2024-06-03,144764.34,Cancelled,2023-08-04,70892.78,47,Accident,Male,51837852
CLM1072,CUST91927,Third Party,Eastern,2024-12-15,58273.37,Pending,2024-03-15,65468.2,35,Theft,Male,???
CLM1073,CUST50319,Property,Rift Valley,2024-02-16,220137.57,Rejected,2022-07-12,69490.44,62,Medical,Female,70597444
CLM1074,CUST74722,Property,Nairobi,2024-01-25,444822.02,Cancelled,2022-09-20,61163.94,19,Accident,Male,40158366
CLM1075,CUST85392,Comprehensive,Rift Valley,2024-08-16,288547.25,Pending,2024-05-10,48109.08,59,Medical,,12823170
CLM1076,CUST67132,Health,Central,2024-08-16,235535.19,Rejected,2022-12-09,34664.22,60,Accident,Male,40885476
CLM1077,CUST74942,Health,Nairobi,2024-01-28,227958.13,Cancelled,2023-07-04,26735.09,25,Medical,Male,10965138
CLM1078,CUST81118,Comprehensive,Nyanza,2024-01-23,259701.26,Rejected,2022-06-27,63290.06,66,Accident,Male,94705205
CLM1079,CUST27172,Health,North Eastern,2024-12-17,61591.62,Pending,2022-02-18,71558.72,37,Natural Disaster,Male,19046318
CLM1080,CUST22217,Comprehensive,North Eastern,2024-01-28,473583.31,Pending,2023-02-04,50840.8,63,Fire,Female,54349361
CLM1081,CUST73242,Third Party,North Eastern,2024-04-18,276081.27,Rejected,2024-01-25,20679.82,56,Natural Disaster,Male,41944441
CLM1082,CUST46208,Health,Coast,2024-07-28,467189.95,Cancelled,2022-07-25,82413.85,36,Other,Female,38754377
CLM1083,CUST86011,Health,Western,2024-08-11,223827.15,Rejected,2024-01-05,35822.15,53,Natural Disaster,Female,86644106
CLM1084,CUST52176,Third Party,Eastern,2024-10-31,117547.66,Rejected,2024-01-05,6277.44,65,Medical,Female,42614537
CLM1085,CUST96991,Third Party,North Eastern,2024-03-14,482447.39,Pending,2022-05-27,51224.53,55,Fire,Male,64634663
CLM1086,CUST67711,Health,Nairobi,2024-09-12,361499.47,Rejected,2023-11-01,87351.43,27,Accident,Female,23009833
CLM1087,CUST44737,Health,Central,2024-06-13,426030.88,Rejected,2023-10-01,95505.68,58,Other,Female,57553014
CLM1088,CUST14705,Third Party,Rift Valley,2024-12-01,498715.54,Approved,2022-03-26,44529.2,24,Other,Male,72682989
CLM1089,CUST49251,Comprehensive,Coast,2024-09-07,398275.59,Cancelled,2022-06-02,37129.41,45,Theft,Male,97705310
CLM1090,CUST84177,Third Party,Western,2024-06-05,88359.61,Rejected,2023-06-12,62731.62,33,Medical,Male,18135295
CLM1091,CUST93611,Life,Nairobi,2024-04-06,449555.36,Rejected,2022-10-25,90318.52,???,Natural Disaster,Male,24665841
CLM1092,CUST87014,Health,Rift Valley,2024-07-27,228961.07,Cancelled,2023-11-28,21523.27,42,Medical,Male,35529407
CLM1093,CUST84963,Life,Rift Valley,2024-06-12,11947.86,Rejected,2022-10-13,28899.08,54,Other,Male,28814949
CLM1094,CUST75107,Life,Nyanza,2024-06-28,303925.43,Cancelled,2023-01-24,23462.44,30,Natural Disaster,Female,47385696
CLM1095,CUST96400,Third Party,Central,2024-06-21,451798.45,Approved,2024-05-04,32275.42,46,Accident,Female,20117988
